folder,make,code,category,fuel,displacement,images_saved,caption,post_url
Toyota_2NZ_1.3L,Toyota,2NZ,Engine,Petrol,1.3L,5,"TOYOTA 2NZ(1.3L), V4 GASOLINE ENGINE",https://www.facebook.com/jdmmiamimotors/posts/pfbid02gFjA7otLYnszEhXKEzcWAugHYB8LM6jC9TTmVG6zR28TGz6txxmtPvhsoGpfPvwl
Mazda_WL_2.5L,Mazda,WL,Engine,Diesel,2.5L,5,MAZDA WL 2.5L V4 TURBO CHARGED DIESEL ENGINE,https://www.facebook.com/jdmmiamimotors/posts/pfbid02mkSBLvUKMu5Xp4VJWknY8Poe4KBp7PE69b7b2VBsc1d7fELAmBhGamxunNjpqu2Jl
Ford_E5FB_2.3L,Ford,E5FB,Engine,Petrol,2.3L,5,FORD E5FB – 2.3L PETROL DOHC 16V ENGINE,https://www.facebook.com/jdmmiamimotors/posts/pfbid036G5YG7daKdcEaiYxDdorTC8QwA5s8DRZ5YXG3WVMyoeX8sJPGseFwWyvDHcvqR8yl
Nissan_TD27-TURBO_2.7L,Nissan,TD27-TURBO,Engine,Diesel,2.7L,4,NISSAN TD27-TURBO 2.7L DIESEL ENGINE.,https://www.facebook.com/jdmmiamimotors/posts/pfbid02t3CMuqHa7X84XxS6dHCrwsQRcFK8kqa1xVRfTsTdp7kWjUHRJ56oAXZVYiCtMs6Vl
Nissan_YD25-D40_2.5L,Nissan,YD25-D40,Engine,Diesel,2.5L,5,NISSAN YD25-D40 2.5L V4 TURBO CHARGED DIESEL ENGINE,https://www.facebook.com/jdmmiamimotors/posts/pfbid02Dg3HqEvSk2kR6GitLCoxHrEpbfVWvFRRi9w1Rfww8Qb3fHBGsNgi5pcAzXHKQ4K7l
Mazda_L3_2.3L,Mazda,L3,Engine,Petrol,2.3L,5,MAZDA L3 / MZR (2.3L) PETROL ENGINE (DOHC 16-VALVE),https://www.facebook.com/jdmmiamimotors/posts/pfbid02vYzVxPrhVFvBbg3cTmNKywFbJ5LmK9NmGhLbbw2tpnEJaVLtM6fSUgScDhtsXPtzl
Suzuki_M16A_1.6L,Suzuki,M16A,Engine,Petrol,1.6L,3,SUZUKI M16A 1.6 L GASOLINE ENGINE AVAILABLE,https://www.facebook.com/jdmmiamimotors/posts/pfbid0zyXYCSzMpRBozqy7iknyrPBRxdmXuKdojvYYA7K6WD4aL9eVfKxZLSSoYx7ay1cYl
Nissan_QR20_2.0L,Nissan,QR20,Engine,Petrol,2.0L,4,NISSAN QR20 2.0L V4 GASOLINE ENGINE AVAILABLE,https://www.facebook.com/jdmmiamimotors/posts/pfbid0U1EsGCkPqXRptnCdtngfxtatGZWjzscN4H2Kcw5yXzyoBKgv98jpLAeE3Vw2DQFjl
Suzuki_J20A_2.0L,Suzuki,J20A,Engine,Petrol,2.0L,4,SUZUKI J20A 2.0 L GASOLINE ENGINE AVAILABLE,https://www.facebook.com/jdmmiamimotors/posts/pfbid0qaZx18ryFoqBaHo5cKyhsrQXKMm9iSSooBNTrG6wpodZ4r7XRumPZGzPQ9eDiedvl
Hyundai_G3LA_1.0L,Hyundai,G3LA,Engine,Petrol,1.0L,4,HYUNDAI G3LA 1.0 L GASOLINE ENGINE,https://www.facebook.com/jdmmiamimotors/posts/pfbid02bRxp94tG43KbV8Cvz9DAbfTWoBAA2Nd48aCdMzCHGU7fKDn9iS4mVDBC9m8sNRtxl
Mitsubishi_4D56-U_2.5L,Mitsubishi,4D56-U,Engine,Diesel,2.5L,3,MITSUBISHI TRITON 4D56-U(CRDi)2.5L V4 DIESEL ENGINE,https://www.facebook.com/jdmmiamimotors/posts/pfbid0pswf2yjuk5Bsr4aKf11uSsq1AYd1t2fPfyxSgM7GqM4zLboUtWjNZjFNvk9bTGQjl
Toyota_1KZ_3.0L,Toyota,1KZ,Engine,Diesel,3.0L,3,TOYOTA 1KZ 3.0L V4 DIESEL ENGINE,https://www.facebook.com/jdmmiamimotors/posts/pfbid0Tei3J6rmJbvUYMq3bp8q8vF6xp3occwYR3nwWqQoXGJzmWcDQLq2cyvvLTLUP514l
Mitsubishi_4N15_2.4L,Mitsubishi,4N15,Engine,Diesel,2.4L,3,MITSUBISHI 4N15 2.4L DIESEL ENGINE,https://www.facebook.com/jdmmiamimotors/posts/pfbid02Aym6UTY466Se2LYngEjYGiAN54mjzAAcZqqaUiAm9UGL4W9snxikGNeP1JwJDux4l
Ford_P5AT_3.2L,Ford,P5AT,Engine,Diesel,3.2L,4,FORD RANGER P5AT 3.2L DIESEL ENGINE,https://www.facebook.com/jdmmiamimotors/posts/pfbid0fZTk6jvBQE8unUzRwhfy5iLu1euVe5PKTq2d9uEFWrzzG9bjq2cH8XaVHLdsM7iyl
Mazda_WL_2.5L__2,Mazda,WL,Engine,Diesel,2.5L,3,MAZDA WL 2.5L V4 DIESEL ENGINE AVAILABLE,https://www.facebook.com/jdmmiamimotors/posts/pfbid02HKoH6DMSrSEf2PrtXWNQyCXJTnxjj1DtCL5ur8UF6VpyzhTFkNZRaL9Bn1hszACPl
Isuzu_4JJ3_3.0L,Isuzu,4JJ3,Engine,Diesel,3.0L,3,ISUZU 4JJ3 AT- DMAX – 3.0 L DIESEL ENGINE.,https://www.facebook.com/jdmmiamimotors/posts/pfbid05EnCLWcH5aKTAMcgP8etUEVgC2gtd5RTzaVvSB78Vy1183t9v9bhzgewDisxGm8cl
